series,series_name
2030,Distribution facilities and storage management
2091,Sales store clerical
2101,Transportation specialist
2102,Transportation clerk and assistant
2130,Traffic management
2150,Transportation operations
2151,Dispatching
2152,Air traffic control
2181,Aircraft operation
2210,Information technology management
2602,Electronic measurement equipment mechanic
2604,Electronics mechanic
2606,Electronic industrial controls mechanic
2610,Electronic integrated systems mechanic
2805,Electrician
2810,High voltage electrician
2854,Electrical equipment repairing
2892,Aircraft electrician
3105,Fabric working
3414,Machining
3502,Laboring
3566,Custodial working
3610,Insulating
3703,Welding
3705,Nondestructive testing
3806,Sheet metal mechanic
3820,Shipfitting 
4102,Painting
4204,Pipefitting
4206,Plumbing 
4352,Plastic fabricating
4607,Carpentry
4701,General maintenance and operations work 
4742,Utility systems repairing/operating
4749,Maintenance mechanic
4754,Cemetery caretaking
5210,Rigging 
5220,Shipwright 
5301,General industrial equipment maintenance
5306,Air conditioning equipment mechanic
5334,Marine machinery mechanic
5350,Production machinery mechanic
5352,Industrial equipment mechanic
5378,Powered support systems mechanic 
5402,Boiler plant operating 
5407,Electric power controlling 
5413,Fuel distribution system operating
5426,Lock and dam operating
5701,General transportation/mobile equipment operation
5703,Motor vehicle operating
5705,Tractor operating
5716,Engineering equipment operating
5725,Crane operating
5801,General transportation/mobile equipment maintenance
5803,Heavy mobile equipment mechanic
5823,Automotive mechanic
6501,"General ammunition, explosives and toxic materials work"
6502,Explosives operating
6610,Small arms repairing 
6641,Ordnance equipment mechanic
6652,Aircraft ordnance system mechanic
6901,General warehousing and stock handling
6904,Tools and parts attending 
6907,Materials handling
6910,Materials expediting 
6912,Materials examining and identifying
6914,Store working 
7304,Laundry working 
7404,Cooking
7407,Meatcutting
7408,Food service working
8255,Pneudraulic systems mechanic 
8268,Aircraft pneudraulic systems mechanic
8602,Aircraft engine mechanic
8801,General aircraft overhaul
8852,Aircraft mechanic 
